Lliga,Temporada,Nom,Equip,Edat,Posició,Partits,Minuts jugats,Gols,Assistències,Targetes grogues,Targetes vermelles,Xuts per partit,Efectivitat passades,Duels aeris guanyats per partit,MVP,Valoració
Espanya,2009/2010,Lionel Messi,Barcelona,36,"MP(CD),DL",30(5),2841,34,10,3,-,4.7,85.7,0.2,14,8.67
Espanya,2009/2010,Cristiano Ronaldo,Real Madrid,39,"ME(I),DL",28(1),2490,26,7,3,2,7.3,79.7,0.9,13,8.54
Espanya,2009/2010,Gonzalo Higuaín,Real Madrid,36,DL,28(4),2401,27,5,3,-,3.1,81.5,0.1,6,7.90
Espanya,2009/2010,Dani Alves,Barcelona,40,"DF(D),ME(CD)",28(1),2505,3,10,7,1,1,85.1,1.1,2,7.85
Espanya,2009/2010,Javi Martínez,Athletic Club,35,"DF(C),ME(C)",34,3003,6,1,9,1,1.6,75.6,2.3,5,7.71
Espanya,2009/2010,Sergio Ramos,Real Madrid,38,DF(CD),33,2902,4,5,13,1,1.1,85.3,2,2,7.71
Espanya,2009/2010,Marcelo,Real Madrid,35,"DF(I),ME(I)",34(1),3001,4,9,5,-,1.6,81,0.4,1,7.68
Espanya,2009/2010,Xavi,Barcelona,44,MC,31(3),2805,3,13,4,-,1.3,90.4,-,4,7.67
Espanya,2009/2010,Xabi Alonso,Real Madrid,42,ME(C),34,3010,3,5,12,-,1.2,85.6,1,1,7.58
Espanya,2009/2010,Duda,Malaga,43,ME(CID),33(1),2917,8,7,8,2,2,63.8,0.5,6,7.56
Espanya,2010/2011,Lionel Messi,Barcelona,36,"MP(CD),DL",31(2),2859,31,18,3,-,4.5,86.2,0.1,20,8.76
Espanya,2010/2011,Cristiano Ronaldo,Real Madrid,39,"ME(I),DL",32(2),2913,40,11,2,-,7.4,75.7,1.4,12,8.35
Espanya,2010/2011,Andrés Iniesta,Barcelona,39,ME(CI),32(2),2799,8,3,1,-,1.3,89.6,0.1,2,7.72
Espanya,2010/2011,Marcelo,Real Madrid,35,"DF(I),ME(I)",31(1),2738,3,4,7,-,0.8,79.5,0.6,4,7.72
Espanya,2010/2011,Gabi,Real Zaragoza,40,ME(C),36,3230,10,6,15,-,2.3,78.2,1.1,11,7.67
Espanya,2010/2011,Dani Alves,Barcelona,40,"DF(D),ME(CD)",31(4),2904,2,15,10,-,1,86.6,0.6,3,7.66
Espanya,2010/2011,José Antonio Reyes,Atletico,40,ME(CID),34,2935,6,7,7,1,2.6,71,0.9,5,7.62
Espanya,2010/2011,Xavi,Barcelona,44,MC,29(2),2467,3,7,6,-,1.1,94.4,-,2,7.58
Espanya,2010/2011,Xabi Alonso,Real Madrid,42,ME(C),29(5),2665,-,6,12,-,0.6,85.3,1.4,4,7.50
Espanya,2010/2011,Ángel Di María,Real Madrid,36,"ME(CID),DL",29(6),2329,6,11,6,-,2.1,75.8,-,4,7.49
Espanya,2011/2012,Lionel Messi,Barcelona,36,"MP(CD),DL",36(1),3268,50,16,6,-,5.5,84.2,0.1,24,8.88
Espanya,2011/2012,Cristiano Ronaldo,Real Madrid,39,"ME(I),DL",37(1),3354,46,12,4,-,6.9,80.6,0.8,11,8.28
Espanya,2011/2012,Jérémy Toulalan,Malaga,40,"DF(C),ME(C)",25,2196,3,-,6,1,0.5,78.9,1.7,5,7.68
Espanya,2011/2012,Santi Cazorla,Malaga,39,ME(CID),38,3250,9,5,2,-,2.3,84.9,0.1,9,7.60
Espanya,2011/2012,Bruno Soriano,Villarreal,39,ME(C),37,3330,3,1,8,-,0.5,87.9,1.9,4,7.53
Espanya,2011/2012,Marcelo,Real Madrid,35,"DF(I),ME(I)",31(1),2719,3,5,3,-,0.9,83,0.3,2,7.51
Espanya,2011/2012,Xabi Alonso,Real Madrid,42,ME(C),35(1),3143,1,9,13,-,0.6,88.1,1.4,1,7.48
Espanya,2011/2012,Javi Fuego,Rayo Vallecano,40,ME(C),31,2743,-,-,8,-,0.4,76.1,1.6,3,7.48
Espanya,2011/2012,Jesús Navas,Sevilla,38,"DF(D),ME(D)",37,3330,5,12,5,-,2.2,75.1,0.4,3,7.46
Espanya,2011/2012,Cesc Fàbregas,Barcelona,36,"ME(CI),DL",23(5),1947,9,8,6,-,1.6,86.9,0.1,2,7.44
Espanya,2012/2013,Lionel Messi,Barcelona,36,"MP(CD),DL",28(4),2644,46,12,1,-,5.1,85.2,0.2,19,8.83
Espanya,2012/2013,Cristiano Ronaldo,Real Madrid,39,"ME(I),DL",30(4),2721,34,10,9,-,6.9,76.7,1.6,11,8.15
Espanya,2012/2013,Carlos Martínez,Real Sociedad,38,DF(D),29,2589,1,4,4,-,0.3,76.4,1.9,6,7.59
Espanya,2012/2013,Patrick Ebert,Real Valladolid,37,ME(CID),22(1),1809,6,7,4,-,3,73.3,1.7,4,7.46
Espanya,2012/2013,Cesc Fàbregas,Barcelona,36,"ME(CI),DL",30(2),2325,11,11,7,-,1.6,88.6,0.5,2,7.45
Espanya,2012/2013,Sergio Ramos,Real Madrid,38,DF(CD),26,2268,4,-,8,1,1.4,84.6,3.5,-,7.45
Espanya,2012/2013,Andrés Iniesta,Barcelona,39,ME(CI),24(7),2096,3,16,4,-,1.1,90.5,-,3,7.41
Espanya,2012/2013,Ivan Rakitic,Sevilla,36,ME(CI),34,2967,8,10,8,2,1.8,78.7,1,4,7.41
Espanya,2012/2013,Carlos Vela,Real Sociedad,35,"ME(CID),DL",32(3),2715,14,9,10,-,2.9,77.5,0.6,3,7.40
Espanya,2012/2013,Mesut Özil,Real Madrid,35,ME(CID),23(9),2042,9,13,5,-,0.9,84.2,0.2,1,7.39
Espanya,2013/2014,Lionel Messi,Barcelona,36,"MP(CD),DL",29(2),2508,27,11,2,-,5,84.9,0.2,13,8.34
Espanya,2013/2014,Cristiano Ronaldo,Real Madrid,39,"ME(I),DL",30,2545,31,9,4,1,7.2,80.2,1.8,10,8.27
